id,level,word,meaning_en,meaning_tr,meaning_es,meaning_ar,full_entry,article,pos,plural,forms,examples,page
b1_0476,B1,"besorgen, besorgt,","get, worried","al, endişelen","ponerse, preocupado",الحصول على القلق,"besorgen, besorgt,",,word,,,Soll ich die Eintrittskarten besorgen?,26
b1_0477,B1,"besorgte, hat besorgt","worried, has worried","endişeli, endişelendi","preocupado, se ha preocupado",قلق، قلق,"besorgte, hat besorgt",,word,,,,26
b1_0478,B1,"besprechen, bespricht,","discuss, discuss","tartışmak, tartışmak","discutir, discutir",ناقش، ناقش,"besprechen, bespricht,",,word,,,"Wir müssen noch genau besprechen,",26
b1_0479,B1,"besprach,",discussed,tartışıldı,discutido,مناقشة,"besprach,",,word,,hat besprochen,wann wir losfahren und was wir || mitnehmen.,26
b1_0480,B1,"die Besprechung, -en","the meeting, -en","toplantı, -tr","la reunión, -es",الاجتماع، -en,"die Besprechung, -en",die,noun,-en,,"Tut mir leid, Herr Schmidt ist noch in einer Besprechung.",26
b1_0481,B1,die Besserung,the improvement,iyileşme,la mejora,التحسن,die Besserung,die,noun,,,Gute Besserung!,26
b1_0482,B1,"bestätigen, bestätigt,","confirm, confirmed","onaylamak, teyit etmek","confirmar, confirmado",تأكيد، تأكيد,"bestätigen, bestätigt, 1.",,word,,,Die Firma hat mir den Termin,26
b1_0483,B1,"bestätigte,",confirmed,onaylandı,confirmado,مؤكد,"bestätigte,",,word,,hat bestätigt,"schriftlich bestätigt. || Ich kann bestätigen, dass er hier war.",26
b1_0484,B1,"die Bestätigung, -en","the confirmation, -en","onay, -tr","la confirmación, -es",التأكيد، -en,"die Bestätigung, -en",die,noun,-en,,Ich brauche eine schriftliche Bestätigung für das Amt.,26
b1_0485,B1,"bestehen, besteht,","exist, exists","var, var","existe, existe",موجود، موجود,"bestehen, besteht, 1.",,word,,,Das Modul Lesen besteht aus fünf,26
b1_0486,B1,bestand,existed,mevcut,existió,موجود,"bestand, hat bestanden",,verb,,hat bestanden,Teilen. || Ich habe die Prüfung bestanden!,26
b1_0487,B1,"bestellen, bestellt,","order, ordered","sipariş, sipariş","orden, ordenado",أمر، أمر,"bestellen, bestellt, 1.",,word,,,Wir haben Pizza bestellt.,26
b1_0488,B1,"bestellte, hat bestellt","ordered, has ordered","sipariş etti, sipariş etti","ordenado, ha ordenado",أمر، أمر,"bestellte, hat bestellt 2.",,word,,,Ich bin für 16 Uhr zum Vorstellungs- gespräch bestellt. || Ich soll Ihnen Grüße von Frau Meier bestellen.,26
b1_0489,B1,bestimmt,certainly,kesinlikle,ciertamente,بالتأكيد,bestimmt 1.,,word,,,Das hat Nancy bestimmt nicht so gemeint. || Möchtest du ein bestimmtes Brot?,26
b1_0490,B1,"bestrafen, bestraft,","punish, punished","cezalandırmak, cezalandırmak","castigar, castigar",يعاقب، يعاقب,"bestrafen, bestraft,",,word,,,Zu schnelles Fahren wird streng,26
b1_0491,B1,"bestrafte, hat bestraft","punished, has punished","cezalandırdı, cezalandırdı","castigado, ha castigado",عاقب، عاقب,"bestrafte, hat bestraft",,word,,,bestraft.,26
b1_0492,B1,"besuchen, besucht,","visit, visited","ziyaret, ziyaret edildi","visita, visitado",زيارة، زار,"besuchen, besucht, 1.",,word,,,Besuchen Sie uns doch mal.,26
b1_0493,B1,"besuchte, hat besucht","visited, has visited","ziyaret etti, ziyaret etti","visitó, ha visitado",زار، زار,"besuchte, hat besucht 2.",,word,,,Sie müssen noch einen Kurs besuchen.,26
b1_0494,B1,"der Besuch, -e1.","the visit, -e1.","ziyaret, -e1.","la visita, -e1.",الزيارة، -e1.,"der Besuch, -e1.",der,noun,-e1.,,Wir bekommen Besuch. || Ich mache einen Besuch im Kranken- haus. || Ich bin hier nur zu Besuch.,26
b1_0495,B1,sich beteiligen,participate,katılmak,participar,يشارك,"sich beteiligen, beteiligt",,verb,,beteiligt,Wir wollen unserer Lehrerin ein,26
b1_0496,B1,"sich, beteiligte sich,","himself, took part","sich, beteiligte sich,","él mismo, participó",نفسه، شارك,"sich, beteiligte sich,",,word,,hat sich beteiligt,Geschenk kaufen. || Wer möchte sich || beteiligen?,26
b1_0497,B1,"der Betrag, ¨-e","the amount, ¨-e","miktar, ¨-e","la cantidad, ¨-e",المبلغ، ¨-ه,"der Betrag, ¨-e",der,noun,¨-e,,Bitte überweisen Sie den Betrag auf unser Konto.,26
b1_0498,B1,"betreuen, betreut,","look after, looked after","bakmak, bakmak","cuidar, cuidar",اعتني، اعتني,"betreuen, betreut,",,word,,,Wer betreut bei Ihnen die Kinder?,26
b1_0499,B1,"betreute, hat betreut","cared for, cared for","bakımlı, bakımlı","cuidado, cuidado",اهتم، اهتم,"betreute, hat betreut",,word,,,,26
b1_0500,B1,"der Betreuer, -","the supervisor, -","gözetmen, -","el supervisor, -",المشرف، -,"der Betreuer, -",der,noun,-,,Die Betreuerin der Kinder ist sehr nett.,26
b1_0501,B1,"die Betreuerin, -nen","the carer, -nen","bakıcı, -nen","el cuidador, -nen",مقدم الرعاية، -نين,"die Betreuerin, -nen",die,noun,-nen,,,26
b1_0502,B1,die Betreuung,the care,bakım,el cuidado,الرعاية,die Betreuung,die,noun,,,Haben Sie eine Betreuung für Ihre Kinder?,26
b1_0503,B1,"der Betrieb, -e","the company, -e","şirket, -e","la empresa, -e",الشركة -ه,"der Betrieb, -e 1.",der,noun,-e 1.,,In diesem Betrieb arbeiten zehn Leute. || Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb. || Der Aufzug ist in Betrieb/außer Betrieb.,26
b1_0504,B1,"der Betriebsrat, ¨-e","the works council, ¨-e","iş konseyi, ¨-e","el comité de empresa, ¨-e",مجلس الأعمال، ¨-ه,"der Betriebsrat, ¨-e",der,noun,¨-e,,Der Betriebsrat wird Sie über die,26
b1_0505,B1,"die Betriebsrätin, -nen","the works councilor, -nen","iş konseyi üyesi, -nen","el concejal de empresa, -nen",مستشار الأعمال، -نين,"die Betriebsrätin, -nen",die,noun,-nen,,neuen Arbeitszeiten informieren.,26
b1_0506,B1,"betrügen, betrügt, betrog,","cheat, cheat, cheated","hile, hile, hile","engañar, engañar, engañar",الغش، الغش، خدع,"betrügen, betrügt, betrog, 1.",,word,,hat betrogen,Ich würde meine Familie niemals || betrügen. || Die Rechnung stimmt nicht. || Der Kellner hat mich betrogen.,26
b1_0507,B1,betrunken,drunk,sarhoş,ebrio,في حالة سكر,betrunken,,verb,,,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.",26
b1_0508,B1,"das Bett, -en","the bed, -en","yatak, -tr",la cama,السرير، -en,"das Bett, -en 1.",das,noun,-en 1.,,"Wir wollten uns neue Betten kaufen. || Solange Sie Fieber haben, müssen Sie im Bett bleiben.",26
b1_0509,B1,die Bevölkerung,the population,nüfus,la población,السكان,die Bevölkerung,die,noun,,,11 % der Bevölkerung wurden nicht im Inland geboren.,26
b1_0510,B1,bevor,before,önce,antes,قبل,bevor,,word,,,"Bevor wir gehen, möchte ich noch etwas essen.",26
b1_0511,B1,"bewegen, bewegt,","move, moved","hareket et, taşındı","moverse, movido",تحرك، تحرك,"bewegen, bewegt, 1.",,word,,,Ich kann mich vor Schmerzen kaum,26
b1_0512,B1,"bewegte, hat bewegt","moved, has moved","taşındı, taşındı","se ha movido, se ha movido",انتقل، انتقل,"bewegte, hat bewegt",,word,,,noch bewegen. || Ich kann meinen Finger nicht mehr bewegen.,26
b1_0513,B1,"die Bewegung, -en","the movement, -en","die Bewegung, -en","el movimiento, -es",الحركة، -en,"die Bewegung, -en",die,noun,-en,,Sie brauchen mehr Bewegung. || Sie müssen regelmäßig spazieren gehen.,26
b1_0514,B1,"beweisen, beweist,","prove, prove","kanıtlamak, kanıtlamak","probar, probar",إثبات، إثبات,"beweisen, beweist,",,word,,,"Wir können beweisen, dass Sie bei Rot",26
b1_0515,B1,bewies,proved,kanıtlandı,probado,ثبت,"bewies, hat bewiesen",,verb,,hat bewiesen,über die Ampel gefahren sind.,26
b1_0516,B1,"der Beweis, -e","the proof, -e","kanıt, -e","la prueba, -e",الدليل، -ه,"der Beweis, -e",der,noun,-e,,Haben Sie dafür Beweise?,26
b1_0517,B1,sich bewerben,apply,uygula,aplicar,يتقدم,"sich bewerben, bewirbt 1.",,verb,,bewirbt 1.,Ich habe mich um diese Stelle,26
b1_0518,B1,"sich, bewarb sich,","himself, applied",kendisi başvurdu,"él mismo, aplicado",نفسه، تطبيق,"sich, bewarb sich,",,word,,hat sich beworben,beworben. || Ich habe mich als Kellner beworben.,26
b1_0519,B1,"die Bewerbung, -en1.","the application, -en1.","uygulama, -en1.","la aplicación, -en1.",التطبيق -en1.,"die Bewerbung, -en1.",die,noun,-en1.,,Wohin soll ich meine Bewerbung schicken? || Hilfst du mir bei meiner Bewerbung?,26
b1_0520,B1,"der Bewohner, -","the resident, -","sakini, -","el residente, -",المقيم، -,"der Bewohner, -",der,noun,-,,Ich kenne die anderen Hausbewohner,27
b1_0521,B1,"die Bewohnerin, -nen","the resident, -nen","sakini, -nen","el residente, -nen",المقيم -نين,"die Bewohnerin, -nen",die,noun,-nen,,nicht.,27
b1_0522,B1,"bezahlen, bezahlt,","pay, paid","ödeme, ödenmiş","pagar, pagado",دفع، دفع,"bezahlen, bezahlt,",,word,,,Hast du die Rechnung schon bezahlt?,27
b1_0523,B1,"bezahlte, hat bezahlt","paid, has paid","ödedi, ödedi","pagado, ha pagado",دفعت، دفعت,"bezahlte, hat bezahlt",,word,,,,27
b1_0524,B1,"die Beziehung, -en","the relationship, -en","ilişki, -tr","la relación, -es",العلاقة، -en,"die Beziehung, -en",die,noun,-en,,Wir haben gute Beziehungen zu unseren Nachbarn.,27
b1_0525,B1,"die Bibliothek, -en","the library, -en","kütüphane, -tr","la biblioteca, -es",المكتبة، -en,"die Bibliothek, -en",die,noun,-en,,Die Stadtbibliothek hat bereits geschlossen.,27
b1_0526,B1,das Bier,the beer,bira,la cerveza,البيرة,das Bier,das,noun,,,"Ein Bier, bitte!",27
b1_0527,B1,"bieten, bietet, bot,","offer, offers, bot","teklif, teklifler, bot","oferta, ofertas, bot",العرض، العروض، بوت,"bieten, bietet, bot, 1.",,word,,hat geboten,"Er hat mir für den alten Wagen noch || 800 Euro geboten. || Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.",27
b1_0528,B1,"das Bild, -er","the picture, -er","resim, -er","la foto, -eh",الصورة، -إيه,"das Bild, -er",das,noun,-er,,Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,27
b1_0529,B1,"der Bildschirm, -e","the screen, -e","ekran, -e","la pantalla, -e",الشاشة، -ه,"der Bildschirm, -e 1.",der,noun,-e 1.,,Ich brauche einen größeren Bildschirm für meinen Computer. || Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.,27
b1_0530,B1,"das Billett, -e/-s →D, A:","the ticket, -e/-s →D, A:","bilet, -e/-s →D, A:","el billete, -e/-s →D, A:",التذكرة، -e/-s →D، A:,"das Billett, -e/-s →D, A:",das,noun,"-e/-s →D, A:",,Ein Billett können Sie am Schalter,27
b1_0531,B1,Fahrkarte,ticket,bilet,boleto,تذكرة,Fahrkarte,,noun,,,kaufen.,27
b1_0532,B1,billig,cheap,ucuz,barato,رخيص,billig,,adjective,,,Dieses Buch ist nicht ganz billig.,27
b1_0533,B1,die Biologie,the biology,biyoloji,la biología,علم الأحياء,die Biologie,die,noun,,,Meine Freundin studiert Biologie.,27
b1_0534,B1,Bio-,organic,organik,orgánico,عضوي,Bio-,,noun,,,Ich kaufe nur noch Biogemüse.,27
b1_0535,B1,bio(logisch),organic(logical),organik(mantıksal),orgánico (lógico),عضوي (منطقي),bio(logisch),,word,,,Biologische Lebensmittel gibt es jetzt auch im Supermarkt.,27
b1_0536,B1,"die Birne, -n","the pear, -n","armut, -n","la pera, -n",الكمثرى، -ن,"die Birne, -n",die,noun,-n,,Möchten Sie Obst? || Die Birnen sind heute besonders schön.,27
b1_0537,B1,bis,until,değin,hasta,حتى,bis 1.,,word,,,"Die Linie 8 fährt nur bis zum Hauptbahnhof. || Bis wann können Sie bleiben? || Tschüs. || Bis gleich! || Einige Züge hatten bis zu zwei Stunden Verspätung. || Für die Renovierung brauchen wir drei bis vier Tage. || Warte hier, bis ich zurückkomme.",27
b1_0538,B1,bisher,until now,şimdiye kadar,hasta ahora,حتى الآن,bisher,,word,,,Bisher ist alles in Ordnung.,27
b1_0539,B1,ein bisschen,a little bit,bir nebze,un poco,قليلا,ein bisschen 1.,,word,,,"Wenn Sie ein bisschen warten, können wir zusammen gehen. || Möchten Sie noch ein bisschen Reis? || Können Sie bitte ein bisschen lauter sprechen? || Sprechen Sie Englisch? || – Ein bisschen.",27
b1_0540,B1,"bitten, bittet, bat,","ask, beg, beg","sor, yalvar, yalvar","pedir, suplicar, suplicar",اسأل، توسل، توسل,"bitten, bittet, bat,",,word,,hat gebeten,"Darf ich Sie bitten, kurz zuzuhören?",27
b1_0541,B1,"die Bitte, -n","the request, -n","istek, -n","la solicitud, -n",الطلب، -ن,"die Bitte, -n",die,noun,-n,,Ich habe eine Bitte. || Kann ich mal Ihr Handy benutzen?,27
b1_0542,B1,bitte1.,please1.,lütfen1.,por favor1.,من فضلك1.,bitte1.,,word,,,"Eine Tasse Kaffee, bitte! || Bitte schön! || Wie bitte? || Was haben Sie gesagt? || Sprechen Sie bitte langsam.",27
b1_0543,B1,bitter,bitter,acı,amargo,مر,bitter,,word,,,Hast du Zucker? || Der Tee ist sehr bitter.,27
b1_0544,B1,blass,pale,solgun,pálido,باهت,blass,,word,,,Du siehst ganz blass aus. || Bist du krank?,27
b1_0545,B1,"das Blatt, ¨-er","the leaf, ¨-er","yaprak, ¨-er","la hoja, ¨-er",ورقة، ¨-إيه,"das Blatt, ¨-er 1.",das,noun,¨-er 1.,,Die Bäume bekommen schon gelbe Blätter. || Haben Sie ein Blatt Papier für mich?,27
b1_0546,B1,"bleiben, bleibt, blieb,","stay, stay, stayed","kal, kal, kaldı","quédate, quédate, quédate",البقاء، البقاء، البقاء,"bleiben, bleibt, blieb, 1.",,word,,ist geblieben,Ich bleibe heute zu Hause. || Im Juni und Juli bleibt unser Geschäft samstags geschlossen. || Bleiben Sie bitte am Apparat. || Bleiben Sie doch sitzen! || Wir bleiben nur bis morgen.,27
b1_0547,B1,"der Bleistift, -e","the pencil, -e","kalem, -e","el lápiz, -e",قلم الرصاص، -ه,"der Bleistift, -e",der,noun,-e,,Hast du einen Bleistift für mich?,27
b1_0548,B1,"der Blick, -e","the look, -e","görünüş, -e","la mirada, -e",المظهر، -ه,"der Blick, -e",der,noun,-e,,Von hier hat man einen tollen Blick über die Stadt.,27
b1_0549,B1,blind,blind,kör,ciego,أعمى,blind,,word,,,Er ist von Geburt an blind.,27
b1_0550,B1,"blitzen, blitzt, blitzte,","flash, flash, flash","flaş, flaş, flaş","destello, destello, destello",فلاش، فلاش، فلاش,"blitzen, blitzt, blitzte, 1.",,word,,hat geblitzt,Gestern Abend gab es ein Gewitter. || Es || hat furchtbar geblitzt und gedonnert. || Ihre Augen blitzen vor Freude.,27
b1_0551,B1,"der Blitz, -e1.","the lightning, -e1.","der Blitz, -e1.","el relámpago, -e1.",البرق، -e1.,"der Blitz, -e1.",der,noun,-e1.,,"Was für ein Gewitter, hast du den Blitz gesehen? || Hast du das Foto mit Blitz gemacht?",27
b1_0552,B1,blond,blond,sarışın,rubio,أشقر,blond 1.,,word,,,Mein Sohn ist blond. || Nina hat lange blonde Haare.,27
b1_0553,B1,bloß,just,Sadece,justo,فقط,bloß 1.,,word,,,"Ich möchte nichts kaufen. || Ich möchte mich bloß umsehen. || Komm bloß nicht zu spät. || Wir müssen pünktlich am Bahnhof sein. || Ach, wenn ich bloß mehr verdienen würde!",27
b1_0554,B1,"blühen, blüht, blühte,","bloom, bloom, bloom","çiçek açmak, çiçek açmak, çiçek açmak","florecer, florecer, florecer",أزهر، أزهر، أزهر,"blühen, blüht, blühte,",,word,,hat geblüht,Die Bäume blühen schon. || Es ist || Frühling.,27
b1_0555,B1,"die Blume, -n","die Blume, -n","çiçek, -n","la flor, -n",الزهرة، -ن,"die Blume, -n",die,noun,-n,,Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.,27
b1_0556,B1,"die Bluse, -n","the blouse, -n","bluz, -n","la blusa, -n",البلوزة، -ن,"die Bluse, -n",die,noun,-n,,Ich hätte gerne eine weiße Bluse.,27
b1_0557,B1,"bluten, blutet, blutete,","bluten, blutet, blutete,","kanamak, kanamak, kanamak","sangrar, sangrar, sangrar",نزف، نزف، نزف,"bluten, blutet, blutete,",,word,,hat geblutet,Ich habe mich verletzt. || Meine Hand || blutet.,27
b1_0558,B1,das Blut,the blood,kan,la sangre,الدم,das Blut,das,noun,,,Der Verletzte hat viel Blut verloren.,27
b1_0559,B1,"der Boden, ¨-","the floor, ¨-","zemin, ¨-","el piso, ¨-",الأرضية، ¨-,"der Boden, ¨- 1.",der,noun,¨- 1.,,Die Bücher lagen alle auf dem Boden. || Auf diesem Boden wächst Gemüse besonders gut.,28
b1_0560,B1,"der Bogen, -/¨-","the bow, -/¨-","yay, -/¨-","el arco, -/¨-",القوس -/¨-,"der Bogen, -/¨-",der,noun,-/¨-,,Bitte schreiben Sie Ihren Namen auf den Antwortbogen.,28
b1_0561,B1,"die Bohne, -n","the bean, -n","fasulye, -n","el frijol, -n",الفول، -ن,"die Bohne, -n",die,noun,-n,,Ich esse gern Bohnen.,28
b1_0562,B1,"das Boot, -e","the boat, -e","tekne, -e","el barco, -e",القارب، -ه,"das Boot, -e",das,noun,-e,,An diesem See kann man Boote mieten.,28
b1_0563,B1,"die Botschaft, -en","the message, -en","mesaj, -tr","el mensaje, -es",الرسالة -en,"die Botschaft, -en",die,noun,-en,,Das Visum habe ich von der Botschaft bekommen.,28
b1_0564,B1,böse,evil,fenalık,demonio,شر,böse,,word,,,"Ich habe das Buch leider vergessen. || Hoffentlich bist du mir nicht böse. || Mach nicht so ein böses Gesicht! || Ich bin böse auf dich, du bist wieder nicht gekommen! || Zeig mal! || Du hast dich verletzt? || Das sieht aber böse aus.",28
b1_0565,B1,"braten, brät, briet,","fry, fry, fried","kızartmak, kızartmak, kızartmak","freír, freír, frito",يقلى، يقلى، مقلي,"braten, brät, briet,",,word,,hat gebraten,Das Fleisch muss zehn Minuten braten. || Heute gibt’s gebratenen Fisch.,28
b1_0566,B1,"der Braten, -","the roast, -","kızartma, -","el asado, -",الشواء، -,"der Braten, -",der,noun,-,,Nehmen Sie noch etwas Soße zum Braten?,28
b1_0567,B1,"brauchen, braucht,","need, needs","ihtiyaç, ihtiyaçlar","necesidad, necesidades",الحاجة، الاحتياجات,"brauchen, braucht,",,word,,,,28
b1_0568,B1,"brauchte, hat gebraucht","needed, needed","gerekli, gerekli","necesario, necesario",مطلوب، مطلوب,"brauchte, hat gebraucht 1.",,word,,,Ich brauche ein Auto. || Brauchst du die Zeitung noch? || Meine Großmutter ist krank. || Sie braucht viel Ruhe. || Ich habe für die Renovierung eine Woche gebraucht. || Sie brauchen morgen nicht zu kommen. || Ich schaffe das alleine.,28
b1_0569,B1,"brechen, bricht, brach,","break, breaks, broke","kırılmak, kırılmak, kırılmak","romper, romper, romper",كسر، فواصل، كسر,"brechen, bricht, brach,",,word,,hat gebrochen,"Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen. || Ich habe mir im Urlaub das Bein gebrochen.",28
b1_0570,B1,breit,broad,geniş,amplio,واسع,breit,,word,,,Der Teppich ist zwei Meter lang und einen Meter breit.,28
b1_0571,B1,"die Breite, -n","the width, -n","genişlik, -n","el ancho, -n",العرض، -ن,"die Breite, -n",die,noun,-n,,"Welche Maße hat der Tisch? || – Länge:1m,Breite:80cm,Höhe:1,20 m.",28
b1_0572,B1,"bremsen, bremst,","brake, brake","fren, fren","freno, freno",الفرامل، الفرامل,"bremsen, bremst,",,word,,,,28
b1_0573,B1,"bremste, hat gebremst","braked, braked","frenlenmiş, frenlenmiş","frenado, frenado",فرمل، فرمل,"bremste, hat gebremst",,word,,,Der Mann ist ganz plötzlich über die Straße gegangen. || Ich musste stark bremsen.,28
b1_0574,B1,"die Bremse, -n","the brake, -n","fren, -n","el freno, -n",الفرامل، -ن,"die Bremse, -n",die,noun,-n,,Du musst unbedingt die Bremsen kontrollieren lassen.,28
b1_0575,B1,"brennen, brennt, brannte,","burn, burn, burnt","yanmak, yanmak, yanmak","quemar, quemar, quemar",حرق، حرق، حرق,"brennen, brennt, brannte,",,word,,hat gebrannt,In diesem Haus hat es letztes Jahr gebrannt. || Die Kerze brennt noch. || Mach sie bitte aus. || In deinem Zimmer hat die ganze Nacht das Licht gebrannt.,28
b1_0576,B1,"der Brief, -e","the letter, -e","harf, -e","la letra, -e",الرسالة -ه,"der Brief, -e",der,noun,-e,,Ich schreibe nicht gern Briefe.,28
b1_0577,B1,"der Briefkasten, ¨-1.","the mailbox, ¨-1.","posta kutusu, ¨-1.","el buzón, ¨-1.",صندوق البريد، ¨-1.,"der Briefkasten, ¨-1.",der,noun,¨-1.,,Ist hier in der Nähe ein Briefkasten? || Hol bitte mal die Zeitung aus dem Briefkasten.,28
b1_0578,B1,"die Briefmarke, -n","the stamp, -n","damga, -n","el sello, -n",الختم، -ن,"die Briefmarke, -n",die,noun,-n,,Briefmarken bekommen Sie am Schalter 7.,28
b1_0579,B1,"der Briefträger,",the postman,postacı,el cartero,ساعي البريد,"der Briefträger,",der,noun,,,War die Briefträgerin schon da?,28
b1_0580,B1,→CH:dieBriefträgerin,→CH: the postman,→CH: postacı,→CH: el cartero,→CH: ساعي البريد,"→CH:dieBriefträgerin,-nen",,verb,,-nen,,28
b1_0581,B1,Pöstler,Postman,Postacı,Cartero,ساعي البريد,Pöstler,,noun,,,,28
b1_0582,B1,"der Briefumschlag, ¨-e →","the envelope, ¨-e →","zarf, ¨-e →","el sobre, ¨-e →",المغلف، ¨-e →,"der Briefumschlag, ¨-e →",der,noun,¨-e →,,Ich hätte gern 50 Briefumschläge und,28
b1_0583,B1,A: Kuvert; CH: Couvert,A: Envelope; CH: Envelope,C: Zarf; CH: Zarf,R: Sobre; CH: Sobre,ج: ظرف؛ CH: مغلف,A: Kuvert; CH: Couvert,,noun,,,Briefmarken dazu.,28
b1_0584,B1,"die Brieftasche, -n →D,","the wallet, -n →D","cüzdan, -n →D","la billetera, -n →D",المحفظة، -ن →د,"die Brieftasche, -n →D,",die,noun,"-n →D,",,Ich habe nur Kleingeld in meiner,28
b1_0585,B1,CH: Portemonnaie/Port-,CH: wallet/port-,CH: cüzdan/port-,CH: billetera/puerto-,CH: المحفظة/المنفذ-,CH: Portemonnaie/Port-,,noun,,,Brieftasche.,28
b1_0586,B1,monee; A: Geldbörse,monee; A: Wallet,para; C: Cüzdan,dinero; R: billetera,المال. ج: المحفظة,monee; A: Geldbörse,,word,,,,28
b1_0587,B1,"die Brille, -n","the glasses, -n","gözlükler, -n","las gafas, -n",النظارات، -ن,"die Brille, -n",die,noun,-n,,Ich brauche eine neue Brille.,28
b1_0588,B1,"bringen, bringt, brachte,","bring, brings, brought","getir, getiriyor, getirdi","traer, trae, traído",أحضر، أحضر، أحضر,"bringen, bringt, brachte, 1.",,word,,hat gebracht,Bringen Sie mir bitte ein Glas Tee! || Ich bringe dich nach Hause. || Die Abendzeitung hat einen Bericht über den Unfall gebracht.,28
b1_0589,B1,"die Broschüre, -n","the brochure, -n","broşür, -n","el folleto, -n",الكتيب، -ن,"die Broschüre, -n",die,noun,-n,,In der Broschüre finden Sie die neuesten Informationen.,28
b1_0590,B1,"das Brot, -e","the bread, -e","ekmek, -e","el pan, -e",الخبز، -ه,"das Brot, -e 1.",das,noun,-e 1.,,"Brot kaufe ich immer beim Bäcker, nicht im Supermarkt. || Was möchtest du aufs Brot haben? || Nimm noch ein paar belegte Brote für die Fahrt mit.",28
b1_0591,B1,"das Brötchen, - (D) →A:","the bun, - (D) →A:","çörek, - (D) →A:","el bollo, - (D) →A:",الكعكة، - (د) →أ:,"das Brötchen, - (D) →A:",das,noun,- (D) →A:,,Ich hole schnell ein paar Brötchen zum,28
b1_0592,B1,Semmel; CH: Brötli,bread roll; CH: Bread rolls,ekmek rulosu; CH: Ekmek ruloları,panecillo; CH: panecillos,لفة الخبز CH: لفائف الخبز,Semmel; CH: Brötli,,noun,,,Frühstück.,28
b1_0593,B1,"das Brötli, - (CH) →D:","the bread roll, - (CH) →D:","ekmek rulosu, - (CH) →D:","el panecillo, - (CH) →D:",لفة الخبز، - (CH) →D:,"das Brötli, - (CH) →D:",das,noun,- (CH) →D:,,Ich hole schnell ein paar Brötli zum,28
b1_0594,B1,Brötchen; A: Semmel,Bread roll; A: Bread,Ekmek rulosu; C: Ekmek,Bollo de pan; R: pan,لفة الخبز ج: الخبز,Brötchen; A: Semmel,,noun,,,Frühstück.,28
b1_0595,B1,"die Brücke, -n","the bridge, -n","köprü, -n","el puente, -n",الجسر، -ن,"die Brücke, -n",die,noun,-n,,Fahren Sie über die nächste Brücke und dann rechts.,28
b1_0596,B1,"der Bruder, ¨-","the brother, ¨-","erkek kardeş, ¨-","el hermano,¨-",الأخ ¨-,"der Bruder, ¨-",der,noun,¨-,,Mein jüngster Bruder geht noch zur Schule.,28
b1_0597,B1,die Brust,the chest,göğüs,el pecho,الصدر,die Brust,die,noun,,,Ich habe Schmerzen in der Brust.,28
b1_0598,B1,"→D: der Bub, -en (A, CH)","→D: the boy, -en (A, CH)","→D: oğlan, -en (A, CH)","→D: el niño, -en (A, CH)",→D: الصبي، -en (A، CH),"→D: der Bub, -en (A, CH)",,other,,,In der Schulklasse sind 15 Buben und,28
b1_0599,B1,Junge,Boy,Erkek çocuk,Chico,ولد,Junge,,noun,,,10 Mädchen.,28
b1_0600,B1,"das Buch, ¨-er","the book, ¨-er","kitap, ¨-er","el libro, ¨-er",الكتاب، ¨-إيه,"das Buch, ¨-er",das,noun,¨-er,,Haben Sie ein Buch über die Geschichte von Berlin?,28
b1_0601,B1,"die Buchhandlung, -en","the bookstore, -en","kitapçı, -tr","la librería, -es",محل بيع الكتب، -en,"die Buchhandlung, -en",die,noun,-en,,In der Buchhandlung in der Stadt haben sie das Buch sicher.,28
b1_0602,B1,"buchen, bucht, buchte,","book, book, booked","kitap, kitap, ayırtılmış","libro, libro, reservado",كتاب، كتاب، حجزت,"buchen, bucht, buchte,",,word,,hat gebucht,Ich habe für morgen einen Flug nach || Rom gebucht.,28
b1_0603,B1,"buchstabieren, buchsta-","spell, letter-","büyü, mektup-","hechizo, letra-",تعويذة، حرف-,"buchstabieren, buchsta-",,word,,,Würden Sie Ihren Namen bitte,29
b1_0604,B1,"biert, buchstabierte,","beered, spelled","bira, yazıldığından","cerveza, espelta",البيرة، مكتوبة,"biert, buchstabierte,",,word,,hat buchstabiert,buchstabieren?,29
b1_0605,B1,"der Buchstabe, -n1.","the letter, -n1.","harf, -n1.","la letra, -n1.",الرسالة، -ن1.,"der Buchstabe, -n1.",der,noun,-n1.,,Gibt es diesen Buchstaben auch in deiner Muttersprache? || Ihr Name beginnt mit K. – Buchstabe K ist in Zimmer || Bitte warten Sie dort.,29
b1_0606,B1,"die Büchse, -n (D, CH) →","the box, -n (D, CH) →","kutu, -n (D, CH) →","la caja, -n (D, CH) →",المربع، -ن (D، CH) →,"die Büchse, -n (D, CH) →",die,noun,"-n (D, CH) →",,Ich habe noch eine Büchse Bohnen.,29
b1_0607,B1,A: Dose,A: Can,C: Yapabilir miyim,R: puede,ج: يمكن,A: Dose,,noun,,,,29
b1_0608,B1,"das Buffet, -s","the buffet, -s","büfe, -s","el buffet, -s",البوفيه، -s,"das Buffet, -s",das,noun,-s,,Das Buffet ist eröffnet!,29
